代码,日期,买入价,卖出价,收益率
002777,2022-04-14,17.85,17.05,-4.48
002777,2022-06-01,13.46,13.26,-1.49
002777,2022-06-02,13.53,13.54,0.07
603938,2021-05-18,22.0,21.58,-1.91
002055,2011-05-05,18.75,18.82,0.37
002055,2011-06-01,17.3,17.53,1.33
002055,2018-07-10,14.35,14.6,1.74
000726,2001-05-31,14.27,14.61,2.38
000726,2002-07-18,10.77,10.65,-1.11
000726,2002-07-19,10.79,10.65,-1.3
000726,2003-05-26,7.15,7.5,4.9
000726,2003-07-03,6.8,6.93,1.91
000726,2005-05-27,8.0,7.13,-10.88
000726,2012-07-04,7.32,7.03,-3.96
600116,2008-08-15,5.17,4.93,-4.64
600116,2013-07-01,8.89,9.04,1.69
600116,2017-11-29,8.11,8.2,1.11
600116,2018-06-27,6.67,6.74,1.05
601965,2017-05-26,8.71,8.9,2.18
601965,2021-09-24,14.93,15.22,1.94
002365,2017-01-20,21.89,22.23,1.55
600732,2003-10-22,6.75,5.93,-12.15
600732,2003-11-03,5.84,5.72,-2.05
600732,2004-05-10,6.31,6.16,-2.38
600732,2012-08-31,6.05,6.47,6.94
600732,2019-11-18,6.63,6.97,5.13
603900,2018-09-07,13.02,12.88,-1.08
603900,2022-05-05,6.3,6.68,6.03
002932,2023-06-12,28.35,27.0,-4.76
002932,2023-07-21,24.09,24.77,2.82
600867,1996-01-24,5.53,5.73,3.62
600867,1997-07-10,13.2,14.3,8.33
600867,1998-12-24,10.75,10.1,-6.05
600867,2001-08-03,10.07,10.03,-0.4
600867,2011-05-05,12.41,12.41,0.0
600867,2011-06-01,11.37,8.38,-26.3
600867,2019-12-06,12.31,12.65,2.76
000852,2008-09-12,6.32,6.45,2.06
000852,2018-06-26,6.74,7.14,5.93
000852,2019-07-25,6.65,6.42,-3.46
601001,2010-07-07,26.69,27.75,3.97
601001,2022-11-24,13.06,13.58,3.98
002635,2014-12-26,26.93,28.65,6.39
002322,2011-05-03,52.81,51.6,-2.29
002322,2012-05-17,20.13,19.0,-5.61
600711,2013-07-02,7.29,7.14,-2.06
600711,2017-01-20,6.47,6.7,3.55
601997,2019-06-24,8.98,8.85,-1.45
601997,2019-07-12,8.75,8.72,-0.34
600651,1993-07-23,17.15,19.26,12.3
600651,2001-10-15,13.35,12.97,-2.85
600651,2017-01-20,9.57,9.51,-0.63
600651,2017-01-23,9.59,9.77,1.88
000877,2004-05-31,8.19,7.5,-8.42
000877,2008-05-30,10.79,10.57,-2.04
000877,2013-06-28,5.79,5.8,0.17
000877,2013-07-01,5.76,5.41,-6.08
000877,2016-02-03,6.0,6.3,5.0
000877,2022-09-01,9.74,9.98,2.46
002849,2021-02-09,10.63,11.2,5.36
000020,1993-05-28,11.35,11.2,-1.32
000020,2011-12-19,5.72,5.34,-6.64
603032,2022-03-11,61.29,58.18,-5.07
002056,2008-08-14,7.97,8.66,8.66
002056,2008-08-15,7.98,8.46,6.02
002056,2011-05-03,31.33,32.47,3.64
002056,2022-03-11,14.35,14.15,-1.39
002400,2011-05-17,19.98,18.33,-8.26
002400,2014-07-14,21.23,20.04,-5.61
002400,2017-06-06,9.97,7.79,-21.87
603668,2018-10-17,7.42,7.38,-0.54
603668,2024-06-19,12.22,12.25,0.25
002111,2021-07-14,13.68,14.41,5.34
002111,2021-07-15,13.73,14.38,4.73
002111,2021-11-03,11.72,12.24,4.44
002111,2021-11-04,11.83,12.3,3.97
002543,2018-07-30,14.85,12.23,-17.64
002543,2025-04-11,9.64,9.72,0.83
601006,2008-11-07,9.28,10.0,7.76
002159,2011-06-07,13.1,14.0,6.87
002159,2017-11-28,21.07,19.56,-7.17
002159,2018-02-09,14.23,14.95,5.06
002159,2019-05-13,17.38,16.37,-5.81
002159,2020-02-07,9.8,10.75,9.69
002676,2017-06-14,15.31,17.45,13.98
002587,2018-06-25,6.12,6.55,7.03
002587,2020-05-28,5.5,5.72,4.0
002520,2012-07-27,12.66,12.73,0.55
002520,2013-05-21,8.73,8.54,-2.18
002520,2016-06-16,14.01,14.15,1.0
002520,2016-06-17,13.9,14.82,6.62
002520,2017-05-26,9.04,8.83,-2.32
002520,2018-06-25,7.3,7.36,0.82
000510,2001-06-07,15.06,14.61,-2.99
000510,2017-04-28,9.08,8.68,-4.41
000510,2017-05-02,9.14,8.48,-7.22
000510,2017-06-08,7.14,8.29,16.11
000409,2001-02-27,12.25,12.58,2.69
000409,2001-02-28,12.39,12.48,0.73
000409,2014-05-06,9.45,9.56,1.16
000409,2017-11-28,6.25,6.03,-3.52
002198,2008-09-12,7.33,7.53,2.73
600674,2001-04-06,12.9,12.7,-1.55
600674,2001-04-25,12.23,12.0,-1.88
002474,2012-11-02,14.89,13.79,-7.39
002474,2018-06-25,7.1,7.71,8.59
600678,2001-09-28,9.06,8.65,-4.53
600678,2014-01-15,5.05,4.91,-2.77
600678,2014-01-16,5.0,4.97,-0.6
000059,2008-09-12,5.47,5.98,9.32
000059,2015-02-13,8.73,9.17,5.04
000059,2021-11-03,5.95,5.9,-0.84
002036,2008-03-24,13.92,13.76,-1.15
002036,2013-05-03,7.92,8.23,3.91
002036,2018-01-02,16.46,15.91,-3.34
002036,2018-09-13,10.04,9.9,-1.39
002036,2018-09-14,9.94,10.05,1.11
000833,2017-01-20,9.31,9.42,1.18
000833,2017-01-23,9.4,9.54,1.49
000833,2017-11-28,6.83,6.61,-3.22
000833,2018-06-26,5.1,5.16,1.18
002890,2023-06-20,13.8,14.86,7.68
002890,2023-06-21,13.8,14.77,7.03
688571,2022-05-05,6.82,6.87,0.73
600714,2007-11-28,8.3,8.44,1.69
600714,2010-07-07,7.35,7.62,3.67
600714,2024-03-08,6.89,7.32,6.24
002737,2018-06-21,21.27,20.76,-2.4
002737,2024-06-26,23.96,23.99,0.13
002737,2024-06-27,23.76,24.03,1.14
600212,2002-09-03,8.49,8.07,-4.95
603926,2019-07-26,12.03,11.47,-4.66
603926,2019-08-09,11.22,11.98,6.77
603926,2022-05-05,11.69,11.62,-0.6
603926,2022-06-07,9.89,9.77,-1.21
600367,2002-05-22,22.98,22.85,-0.57
600367,2003-06-16,14.38,13.43,-6.61
600367,2004-08-20,6.57,6.59,0.3
600367,2017-06-06,9.86,10.14,2.84
600367,2018-06-25,8.07,8.44,4.58
002180,2011-09-13,19.32,20.68,7.04
002180,2013-07-01,7.85,7.45,-5.1
002180,2023-04-17,43.22,40.9,-5.37
002180,2025-04-21,22.55,21.9,-2.88
002052,2008-09-12,7.17,6.87,-4.18
002052,2011-10-24,8.73,9.31,6.64
002052,2017-05-31,6.0,6.69,11.5
002052,2018-01-22,5.18,5.13,-0.97
600476,2017-05-02,21.35,20.01,-6.28
002580,2012-05-17,13.54,13.69,1.11
002580,2017-05-26,7.39,7.31,-1.08
603158,2017-07-21,18.95,19.05,0.53
603158,2021-06-29,11.8,11.58,-1.86
600578,2003-09-24,8.02,7.95,-0.87
000801,2004-07-02,6.14,6.15,0.16
000801,2004-07-19,5.67,5.73,1.06
000801,2004-07-20,5.67,5.56,-1.94
000801,2008-08-15,8.03,7.88,-1.87
000801,2016-06-20,11.16,12.05,7.97
000801,2017-04-28,9.41,8.69,-7.65
000801,2017-05-02,9.45,8.75,-7.41
000801,2017-12-11,6.12,6.12,0.0
000600,2017-12-08,7.9,8.14,3.04
000600,2018-06-26,5.5,5.57,1.27
002708,2018-02-14,5.13,5.36,4.48
600658,2001-02-13,14.1,16.0,13.48
600658,2018-06-26,5.19,5.2,0.19
600281,2001-11-14,8.75,9.59,9.6
002320,2011-05-09,28.98,29.01,0.1
002320,2011-05-30,26.55,27.52,3.65
002320,2012-05-09,11.74,11.13,-5.2
002320,2020-05-07,10.99,12.27,11.65
002320,2020-11-04,9.09,9.31,2.42
002320,2021-06-23,5.9,5.87,-0.51
002320,2021-07-07,5.78,5.6,-3.11
600829,2004-10-20,6.6,6.51,-1.36
002033,2017-05-15,9.93,9.9,-0.3
688173,2024-08-26,9.02,8.51,-5.65
601369,2013-06-28,6.75,6.81,0.89
601369,2016-02-01,6.13,6.14,0.16
601369,2023-05-04,9.45,9.38,-0.74
600795,2002-09-16,9.45,9.29,-1.69
600795,2002-09-17,9.45,9.23,-2.33
600795,2002-10-16,7.59,7.96,4.87
600795,2002-11-01,7.6,7.81,2.76
600795,2004-05-21,7.88,8.05,2.16
600795,2005-01-12,5.66,5.22,-7.77
600795,2005-01-13,5.61,5.25,-6.42
002658,2018-06-26,7.75,7.89,1.81
000758,2000-05-17,12.13,13.16,8.49
000758,2016-09-30,8.06,8.15,1.12
000758,2017-06-06,6.51,6.69,2.76
002945,2021-11-01,10.52,10.42,-0.95
600202,2008-09-12,8.54,9.67,13.23
000789,2004-08-25,5.86,5.64,-3.75
000789,2007-11-15,9.88,9.45,-4.35
000789,2013-07-01,8.27,7.71,-6.77
000789,2022-11-03,8.09,8.31,2.72
600776,1999-11-08,20.05,19.85,-1.0
600776,2017-05-02,7.07,6.86,-2.97
600776,2020-09-15,13.19,13.13,-0.45
603006,2017-06-16,25.53,22.88,-10.38
600019,2008-04-22,10.28,13.92,35.41
603778,2018-01-02,6.97,7.32,5.02
600730,1999-01-21,9.54,10.15,6.39
600730,1999-01-22,9.5,10.0,5.26
600730,1999-03-01,9.16,10.22,11.57
600168,2003-01-07,7.19,7.81,8.62
601858,2025-01-09,19.22,19.59,1.93
002925,2021-04-28,41.35,40.72,-1.52
002925,2021-09-03,32.33,32.72,1.21
002782,2021-04-21,11.15,10.49,-5.92
002782,2022-09-21,16.2,15.55,-4.01
002782,2024-01-26,11.67,9.42,-19.28
002782,2025-04-11,11.38,11.39,0.09
000566,1998-12-03,8.0,7.53,-5.87
000566,2016-06-06,10.58,10.06,-4.91
000566,2016-06-20,10.02,10.1,0.8
000566,2020-11-05,8.19,9.15,11.72
000566,2021-03-16,5.73,6.0,4.71
000566,2021-07-21,5.04,4.61,-8.53
600375,2003-11-14,15.73,15.81,0.51
600375,2004-05-28,9.14,9.18,0.44
600375,2004-07-19,6.88,6.79,-1.31
603858,2019-08-26,18.93,19.25,1.69
600279,2005-01-06,5.57,5.65,1.44
600279,2005-01-07,5.58,5.64,1.08
600279,2011-12-20,7.14,6.78,-5.04
600279,2016-06-17,6.82,6.7,-1.76
603041,2018-06-25,16.79,17.03,1.43
000708,1997-09-19,9.4,8.41,-10.53
000708,2008-08-15,6.82,6.7,-1.76
000708,2008-08-28,6.71,6.72,0.15
000708,2013-07-01,5.37,5.17,-3.72
000708,2020-05-11,16.05,15.69,-2.24
000708,2020-05-12,15.88,15.62,-1.64
000708,2022-03-21,18.26,18.29,0.16
000708,2024-07-26,12.31,12.22,-0.73
000708,2024-07-30,12.27,12.17,-0.81
002753,2017-06-19,17.1,16.77,-1.93
000626,2005-10-27,8.28,7.81,-5.68
000626,2006-03-13,5.27,6.11,15.94
000626,2016-12-19,25.74,25.28,-1.79
000626,2018-02-08,10.39,10.22,-1.64
002817,2021-01-14,12.09,12.69,4.96
601019,2018-06-25,8.21,7.9,-3.78
000993,2010-05-13,7.62,7.07,-7.22
000993,2024-07-22,8.47,8.44,-0.35
000987,2006-02-07,5.93,6.13,3.37
000987,2008-11-06,8.77,8.9,1.48
000987,2012-07-20,12.11,11.78,-2.73
002350,2012-06-11,11.41,12.06,5.7
002350,2018-06-25,6.08,6.12,0.66
002350,2018-06-26,6.12,6.25,2.12
002286,2018-09-14,6.83,6.94,1.61
600097,1999-01-22,11.0,10.6,-3.64
600097,2004-06-16,7.05,7.25,2.84
600097,2004-07-28,6.05,6.28,3.8
000783,2018-06-26,5.33,5.37,0.75
000783,2021-02-10,7.11,7.35,3.38
000783,2022-05-05,5.46,5.48,0.37
603528,2021-11-05,6.37,6.52,2.35
603528,2022-05-05,5.04,5.27,4.56
603528,2022-05-06,5.02,5.28,5.18
002601,2014-01-15,16.28,16.98,4.3
002601,2021-03-29,28.63,29.6,3.39
002601,2022-04-28,17.64,18.36,4.08
002601,2024-07-29,16.95,16.65,-1.77
000422,2013-05-07,8.98,8.88,-1.11
000422,2013-07-01,6.74,6.55,-2.82
000422,2017-10-25,5.25,4.84,-7.81
000422,2023-04-28,12.45,13.64,9.56
002884,2019-07-15,13.73,13.21,-3.79
002884,2019-07-16,13.78,13.41,-2.69
002884,2021-06-01,23.77,23.2,-2.4
002884,2021-06-02,23.87,23.17,-2.93
002884,2024-07-29,16.21,16.05,-0.99
002884,2024-07-30,16.16,16.17,0.06
603018,2018-05-07,17.51,17.24,-1.54
603018,2021-06-18,8.35,8.22,-1.56
603018,2025-04-14,7.49,7.36,-1.74
601615,2022-09-21,25.02,24.82,-0.8
002392,2011-12-28,8.64,7.8,-9.72
002392,2012-09-05,6.99,7.97,14.02
601311,2012-07-20,8.06,8.01,-0.62
601311,2017-05-31,13.51,13.72,1.55
601311,2022-09-22,9.11,8.57,-5.93
600088,2001-08-09,17.6,17.42,-1.02
600088,2001-10-15,13.78,12.6,-8.56
600088,2018-08-08,9.02,9.03,0.11
600088,2021-07-21,10.0,9.11,-8.9
600039,2011-12-20,6.77,6.09,-10.04
600039,2012-05-22,5.3,5.56,4.91
000030,1994-04-06,7.6,7.0,-7.89
000030,2002-09-23,8.22,7.84,-4.62
002889,2025-06-09,14.69,14.31,-2.59
000755,2004-06-16,5.18,5.14,-0.77
600335,2011-12-22,13.18,13.66,3.64
600335,2017-05-31,10.38,11.32,9.06
600335,2023-08-17,8.04,7.57,-5.85
600125,1998-11-20,14.1,13.95,-1.06
600125,2005-05-31,5.6,5.7,1.79
600125,2005-06-01,5.63,6.27,11.37
600125,2007-12-03,11.19,12.01,7.33
600125,2008-03-21,10.2,9.98,-2.16
600125,2008-05-12,7.78,7.99,2.7
600125,2012-08-31,6.24,6.56,5.13
600125,2017-12-11,9.28,10.51,13.25
002123,2010-04-23,35.74,33.13,-7.3
002123,2011-05-06,22.79,23.05,1.14
002123,2012-06-14,11.7,11.41,-2.48
002123,2017-05-26,11.45,11.42,-0.26
002123,2018-06-25,8.75,8.62,-1.49
002123,2020-12-31,14.23,13.83,-2.81
002123,2022-02-08,14.17,14.86,4.87
600784,2002-11-19,6.65,5.92,-10.98
600784,2010-07-05,7.83,8.54,9.07
600784,2012-06-11,5.96,6.03,1.17
002186,2013-07-01,14.16,14.0,-1.13
002186,2021-08-04,9.1,9.17,0.77
002186,2022-05-05,7.66,7.81,1.96
000035,2016-06-02,6.96,6.6,-5.17
000035,2016-06-03,6.87,6.52,-5.09
000035,2016-08-05,6.48,6.65,2.62
600128,2000-10-09,15.0,14.96,-0.27
600128,2000-10-10,15.03,14.68,-2.33
600128,2010-07-05,10.04,10.65,6.08
600282,2004-06-24,7.79,8.42,8.09
002040,2018-06-26,9.12,9.02,-1.1
002040,2019-07-15,8.07,7.43,-7.93
002085,2018-05-03,9.09,9.91,9.02
002085,2018-06-25,9.61,8.91,-7.28
002100,2012-10-31,9.26,9.0,-2.81
002100,2018-05-04,6.56,6.61,0.76
000729,2005-04-27,7.09,6.89,-2.82
000729,2005-05-16,6.92,6.75,-2.46
000729,2005-10-21,5.86,5.67,-3.24
000729,2005-10-24,5.83,5.66,-2.92
000729,2008-08-15,12.94,12.51,-3.32
000729,2021-02-02,6.7,6.49,-3.13
002571,2012-06-08,12.6,12.85,1.98
002283,2012-11-20,5.67,5.32,-6.17
601999,2017-05-02,9.39,9.15,-2.56
601999,2017-11-30,7.45,7.3,-2.01
601999,2020-09-16,6.29,6.23,-0.95
600769,2001-09-21,9.03,8.65,-4.21
600769,2010-07-08,5.07,5.06,-0.2
000800,2001-08-03,5.69,5.63,-1.05
000800,2011-10-27,9.74,10.4,6.78
000567,2001-02-14,11.37,10.28,-9.59
000567,2001-09-20,9.18,8.78,-4.36
000567,2001-09-21,9.24,8.75,-5.3
000567,2008-05-28,7.41,6.96,-6.07
000567,2013-07-01,6.69,6.52,-2.54
000567,2017-05-31,22.1,22.96,3.89
000567,2019-07-12,7.94,8.4,5.79
002383,2011-05-09,36.63,35.23,-3.82
002383,2011-05-10,36.78,35.4,-3.75
002383,2012-07-20,14.77,14.94,1.15
002383,2017-05-31,13.68,13.78,0.73
002383,2017-07-21,13.3,14.24,7.07
002383,2023-05-26,6.31,6.42,1.74
002383,2023-05-29,6.26,6.5,3.83
000157,2008-07-04,13.9,15.0,7.91
000157,2008-08-15,11.55,10.91,-5.54
000157,2011-08-01,11.63,10.74,-7.65
000157,2013-07-01,5.38,5.04,-6.32
000597,2008-09-12,8.97,9.49,5.8
000597,2020-05-29,5.02,5.11,1.79
002237,2020-09-29,14.16,16.36,15.54
000678,1999-12-30,7.88,8.74,10.91
000678,2001-08-03,11.03,11.57,4.9
000678,2002-10-08,6.15,6.13,-0.33
000678,2019-07-15,6.97,6.47,-7.17
600061,2002-09-12,6.1,6.01,-1.48
002949,2021-10-26,13.49,13.36,-0.96
600480,2017-11-09,16.25,16.27,0.12
600480,2018-02-13,12.79,13.74,7.43
600480,2018-06-26,9.34,9.74,4.28
600480,2019-06-24,8.99,8.96,-0.33
002181,2017-05-18,5.68,5.23,-7.92
002181,2017-05-31,5.27,5.46,3.61
601666,2008-07-22,31.4,30.15,-3.98
601666,2010-05-14,21.45,21.02,-2.0
601666,2015-09-10,5.08,4.51,-11.22
601666,2022-07-26,11.73,11.65,-0.68
601666,2024-08-27,9.15,9.25,1.09
600860,1997-07-09,5.14,5.28,2.72
600860,2013-10-30,8.34,8.48,1.68
600860,2014-04-08,5.36,5.34,-0.37
002439,2017-05-09,17.01,19.17,12.7
002634,2017-07-21,6.98,6.98,0.0
002556,2012-08-21,6.57,5.71,-13.09
002966,2022-05-17,6.16,5.89,-4.38
002277,2017-05-15,6.43,6.25,-2.8
603309,2017-01-20,23.19,23.8,2.63
603309,2017-05-02,20.43,19.66,-3.77
603309,2017-05-26,17.47,17.87,2.29
603309,2017-05-31,17.45,18.14,3.95
600099,2001-07-10,10.79,10.32,-4.36
600099,2004-07-29,6.07,6.26,3.13
600099,2010-05-14,8.68,8.04,-7.37
600099,2011-12-20,5.78,5.14,-11.07
600099,2018-02-13,7.2,7.68,6.67
002552,2013-06-26,10.2,10.26,0.59
002552,2015-01-16,8.79,9.02,2.62
002552,2024-07-30,11.08,11.23,1.35
002075,2011-11-28,5.66,5.16,-8.83
002208,2011-08-01,7.92,7.02,-11.36
002208,2017-12-11,9.52,9.38,-1.47
002208,2018-02-12,8.38,8.82,5.25
600123,1999-09-23,10.15,9.08,-10.54
002229,2012-07-20,5.5,5.46,-0.73
002229,2017-07-21,9.78,9.77,-0.1
002229,2017-07-24,9.76,9.75,-0.1
603567,2023-07-21,13.69,14.09,2.92
600156,2008-03-24,6.77,6.19,-8.57
600156,2017-05-26,6.93,6.83,-1.44
002363,2013-07-01,10.33,10.22,-1.06
603118,2022-04-14,7.25,7.62,5.1
002429,2011-06-01,19.02,17.9,-5.89
002429,2011-08-01,11.47,10.75,-6.28
002429,2014-03-14,11.91,11.99,0.67
002429,2014-05-05,10.7,10.94,2.24
002429,2014-07-23,7.21,7.49,3.88
601669,2023-06-12,5.75,5.78,0.52
600707,1998-08-05,8.4,7.9,-5.95
600707,2000-05-17,13.64,14.68,7.62
600707,2001-02-13,11.33,11.35,0.18
600707,2011-08-12,10.34,10.38,0.39
600707,2012-07-02,5.97,5.81,-2.68
600707,2018-09-07,5.52,5.33,-3.44
600707,2024-07-30,6.1,6.09,-0.16
600707,2025-04-11,6.53,6.75,3.37
000818,2001-11-14,7.83,8.23,5.11
000818,2002-11-19,5.55,4.99,-10.09
000818,2018-10-19,9.05,8.77,-3.09
000818,2020-10-28,19.9,18.64,-6.33
000027,1993-12-24,7.2,7.2,0.0
000027,2002-08-07,8.19,8.11,-0.98
000027,2002-08-14,8.11,8.49,4.69
000027,2011-08-12,6.78,6.55,-3.39
603878,2020-07-02,7.45,8.55,14.77
603878,2023-05-19,8.26,8.46,2.42
603878,2023-06-13,8.09,7.9,-2.35
600872,1999-06-09,5.06,6.0,18.58
600872,2001-09-28,7.32,6.89,-5.87
002802,2021-09-03,22.19,22.89,3.15
002802,2022-06-14,14.28,15.11,5.81
002802,2023-05-18,10.44,10.56,1.15
002802,2023-05-19,10.56,10.67,1.04
600697,2008-03-24,18.0,19.04,5.78
600697,2008-10-31,11.7,12.25,4.7
603181,2018-09-07,16.03,15.31,-4.49
603181,2019-06-05,13.85,13.9,0.36
603181,2022-03-18,14.05,14.13,0.57
603181,2022-11-03,13.85,14.35,3.61
600908,2018-06-26,5.75,5.85,1.74
002095,2014-05-14,20.3,20.18,-0.59
002095,2014-06-25,20.59,21.74,5.59
002095,2017-05-02,32.02,35.39,10.52
603685,2022-05-05,9.06,9.17,1.21
002728,2018-10-17,12.67,12.86,1.5
002728,2020-05-08,13.74,13.83,0.66
002448,2013-07-29,13.57,13.84,1.99
002448,2018-06-26,6.72,6.97,3.72
002459,2025-04-11,10.15,9.68,-4.63
002459,2025-04-21,9.79,9.56,-2.35
002459,2025-05-21,9.66,9.16,-5.18
600755,1997-12-08,16.2,17.08,5.43
600755,1999-03-04,11.08,11.31,2.08
600755,2016-02-01,5.76,5.94,3.13
600755,2021-11-04,6.87,6.74,-1.89
600755,2023-07-11,7.43,7.36,-0.94
002096,2008-04-08,20.78,20.01,-3.71
002096,2010-07-07,21.06,21.29,1.09
002096,2012-09-03,11.71,11.88,1.45
002096,2012-10-31,10.15,11.98,18.03
002096,2016-01-15,18.17,17.95,-1.21
000561,2010-07-05,7.63,7.7,0.92
000561,2020-11-05,7.13,6.96,-2.38
600188,2005-05-20,10.55,10.42,-1.23
600188,2011-09-09,28.2,26.82,-4.89
600188,2012-07-03,19.28,18.65,-3.27
600188,2013-05-08,14.53,14.03,-3.44
600188,2023-06-06,27.95,28.18,0.82
600188,2023-06-07,27.68,28.15,1.7
600188,2023-07-26,17.93,17.2,-4.07
000757,1999-04-21,11.87,11.99,1.01
600510,2004-05-31,10.2,10.1,-0.98
600449,2012-09-03,7.43,8.92,20.05
600449,2018-06-05,9.05,9.0,-0.55
000558,2017-12-11,5.15,5.08,-1.36
002029,2005-06-01,5.75,6.6,14.78
002029,2008-10-22,10.0,9.21,-7.9
002029,2012-11-20,16.48,15.7,-4.73
002029,2012-11-21,16.55,14.93,-9.79
002029,2013-06-19,9.19,7.68,-16.43
603017,2018-02-13,12.52,13.17,5.19
002743,2018-06-26,7.06,7.11,0.71
002878,2020-12-30,20.25,18.65,-7.9
603209,2023-10-12,16.42,15.95,-2.86
000156,2001-08-31,18.93,18.7,-1.22
000156,2003-11-12,8.49,9.05,6.6
000156,2003-11-13,8.45,8.85,4.73
000156,2004-07-21,7.42,7.39,-0.4
000156,2018-07-03,9.73,9.59,-1.44
000156,2018-07-23,9.2,9.23,0.33
000632,2004-06-10,9.71,9.25,-4.74
000632,2004-06-11,9.64,9.29,-3.63
000632,2020-02-10,5.19,5.21,0.39
603788,2018-06-22,24.3,24.64,1.4
002546,2014-05-07,11.1,11.25,1.35
002546,2014-06-24,11.16,11.63,4.21
002546,2017-05-03,6.09,5.8,-4.76
600559,2016-08-24,24.52,25.41,3.63
600559,2019-06-13,12.04,12.54,4.15
003025,2023-06-16,15.12,15.37,1.65
600189,2003-01-07,7.6,8.2,7.89
600189,2010-07-07,7.11,7.29,2.53
600189,2017-12-11,7.26,7.23,-0.41
600189,2018-07-09,6.04,4.69,-22.35
600189,2018-07-10,6.08,4.64,-23.68
000848,2004-06-16,5.26,5.26,0.0
000848,2008-10-07,13.75,14.95,8.73
000848,2016-05-23,10.15,9.66,-4.83
000848,2018-08-08,8.87,8.66,-2.37
002700,2016-02-01,10.09,11.74,16.35
002700,2016-05-13,12.48,13.35,6.97
002700,2016-05-16,12.48,13.29,6.49
002700,2018-06-27,6.8,6.68,-1.76
601169,2011-06-22,9.69,9.89,2.06
601169,2012-07-17,7.49,7.25,-3.2
601169,2012-07-18,7.52,7.3,-2.93
601169,2012-07-26,7.32,7.59,3.69
600987,2016-02-01,8.93,9.49,6.27
002236,2011-01-28,66.6,71.33,7.1
002236,2012-06-05,29.37,30.28,3.1
002236,2013-04-23,38.09,39.15,2.78
002236,2016-05-05,14.4,13.45,-6.6
002236,2018-09-19,13.97,14.85,6.3
600768,2001-02-14,14.28,13.45,-5.81
600768,2003-10-13,15.32,14.9,-2.74
600768,2005-08-29,6.71,6.99,4.17
600768,2012-12-04,5.46,5.86,7.33
002268,2012-07-02,11.57,11.39,-1.56
600602,2003-10-31,8.05,7.52,-6.58
600602,2003-11-03,8.05,7.38,-8.32
600602,2017-05-17,7.58,7.05,-6.99
600602,2017-05-18,7.56,7.1,-6.08
600602,2017-11-28,6.57,6.35,-3.35
600602,2018-06-25,5.53,5.69,2.89
601882,2018-08-23,9.22,8.99,-2.49
601882,2018-08-24,9.2,8.97,-2.5
601882,2021-01-19,10.29,10.08,-2.04
601882,2024-08-26,19.28,19.0,-1.45
000922,2017-05-18,7.29,6.59,-9.6
000922,2023-10-25,9.76,10.02,2.66
605336,2024-07-22,10.61,10.81,1.89
600246,2023-01-04,6.52,6.44,-1.23
000998,2004-07-05,12.2,11.26,-7.7
000998,2006-03-20,6.22,6.88,10.61
000998,2006-03-21,6.3,6.84,8.57
000998,2018-06-25,18.65,18.38,-1.45
000998,2024-01-12,13.17,13.23,0.46
002250,2011-09-08,21.18,21.56,1.79
002250,2011-09-09,21.09,21.52,2.04
002250,2017-12-08,10.46,10.9,4.21
600081,1999-10-12,15.19,14.7,-3.23
600081,2013-06-28,5.61,5.89,4.99
002366,2011-12-20,10.04,9.4,-6.37
002366,2016-03-03,44.88,42.5,-5.3
603057,2024-07-19,14.2,13.77,-3.03
603057,2024-07-22,14.12,13.51,-4.32
003036,2021-11-03,11.04,11.55,4.62
