代码,日期,3日收益,5日收益,10日收益,20日收益
600651,2016-05-16,-5.0,-5.0,-5.0,-5.0
600651,2018-10-19,6.47249190938512,6.47249190938512,6.47249190938512,6.47249190938512
600651,2019-07-11,0.6289308176100634,0.6289308176100634,0.6289308176100634,0.6289308176100634
002849,2017-12-08,0.7015082427218494,0.7015082427218494,0.7015082427218494,0.7015082427218494
000020,2002-11-28,5.347593582887701,5.347593582887701,5.347593582887701,5.347593582887701
000020,2003-11-04,-5.0,-5.0,-5.0,-5.0
002056,2008-08-15,-5.0,-5.0,-5.0,-5.0
002056,2011-12-19,-5.0,-5.0,-5.0,-5.0
002056,2011-12-20,-5.0,-5.0,-5.0,-5.0
002056,2018-06-26,3.5450516986706093,2.6587887740029634,12.259970457902511,11.669128508124079
002400,2016-01-14,-5.0,-5.0,-5.0,-5.0
002400,2017-07-24,3.1055900621117902,1.7080745341614818,0.46583850931676024,10.714285714285705
002111,2016-02-02,15.8366533864542,19.02390438247012,21.264940239043842,21.264940239043842
002803,2018-06-25,3.387096774193539,3.387096774193539,3.387096774193539,3.387096774193539
002543,2018-07-18,-5.0,-5.0,-5.0,-5.0
002159,2008-03-20,8.253012048192755,10.120481927710841,10.120481927710841,10.120481927710841
002159,2019-05-10,3.0477285796434797,3.0477285796434797,3.0477285796434797,3.0477285796434797
