代码,日期,5日收益,7日收益,15日收益,30日收益
000686,2018-06-26,1.5948963317384455,-1.5948963317384313,-0.9569377990430561,-5.0
002921,2021-02-09,7.602339181286533,7.602339181286533,7.602339181286533,7.602339181286533
002950,2021-07-29,8.528784648187628,8.528784648187628,8.528784648187628,8.528784648187628
002225,2016-02-02,5.786618444846281,8.137432188065102,1.0849909584086728,9.041591320072333
002225,2018-02-07,-5.0,-5.0,-5.0,-5.0
002527,2015-12-04,-5.0,-5.0,-5.0,-5.0
002527,2016-02-03,8.798882681564244,11.59217877094972,2.0,2.0
002527,2022-05-05,0.9259259259259226,2.7777777777777675,4.62962962962963,6.851851851851837
002527,2024-07-19,3.603603603603607,5.0450450450450495,7.927927927927936,7.927927927927936
600719,2003-11-04,-5.0,-5.0,-5.0,-5.0
600719,2012-07-19,-2.373417721518993,-3.639240506329121,-5.0,-5.0
600719,2016-02-02,7.977736549165132,7.977736549165132,7.977736549165132,7.977736549165132
600719,2018-02-12,3.0241935483871036,2.4193548387096793,9.87903225806452,11.088709677419352
600719,2018-02-13,3.030303030303019,4.242424242424241,13.131313131313119,11.313131313131306
600719,2018-06-25,2.4154589371980806,4.83091787439614,2.4154589371980806,6.038647342995169
600719,2018-06-26,1.1820330969267097,2.1276595744680815,0.47281323877067544,2.600472813238757
600719,2024-07-29,6.802721088435375,6.802721088435375,6.802721088435375,6.802721088435375
600719,2024-07-30,6.5128900949796416,6.5128900949796416,6.5128900949796416,6.5128900949796416
600847,1996-01-25,2.524271844660192,0.3883495145630985,2.524271844660192,8.54368932038834
600847,2003-10-31,-5.0,-5.0,-5.0,-5.0
600847,2003-11-03,-5.0,-5.0,-5.0,-5.0
600847,2003-11-13,6.372549019607837,7.843137254901968,5.637254901960772,5.637254901960772
600847,2004-04-30,2.192982456140363,0.0,-5.0,-5.0
600847,2004-05-10,1.5624999999999862,2.45535714285713,-5.0,-5.0
600847,2004-07-02,5.232558139534889,5.232558139534889,5.232558139534889,5.232558139534889
600847,2004-07-05,4.927536231884055,4.927536231884055,4.927536231884055,4.927536231884055
600847,2011-01-04,0.9002250562640602,5.8514628657164245,6.526631657914472,6.526631657914472
600847,2011-01-05,0.6741573033707855,6.3670411985018704,6.3670411985018704,6.3670411985018704
600847,2017-02-03,2.7052238805970066,1.3059701492537201,2.2388059701492558,7.649253731343269
600847,2018-02-08,2.1555763823805103,4.9671977507028995,23.055295220243682,18.744142455482663
600847,2021-02-08,6.947890818858545,6.947890818858545,6.947890818858545,6.947890818858545
600721,2008-10-09,-5.0,-5.0,-5.0,-5.0
600721,2013-07-02,0.9174311926605444,7.798165137614675,1.9877675840978575,8.256880733944955
600721,2017-04-27,2.0905923344947785,5.087108013937285,5.087108013937285,5.087108013937285
600721,2018-08-09,-3.414634146341463,-5.0,-5.0,-5.0
603333,2024-05-27,-5.0,-5.0,-5.0,-5.0
002105,2011-12-30,-5.0,-5.0,-5.0,-5.0
002105,2017-05-16,-5.0,-5.0,-5.0,-5.0
002105,2018-06-25,-0.2257336343115076,-1.8058690744921009,-5.0,-5.0
002105,2020-04-02,0.3952569169960566,2.371541501976287,-3.1620553359683647,-5.0
002105,2020-12-31,-5.0,-5.0,-5.0,-5.0
002105,2023-04-27,2.6408450704225417,5.985915492957744,4.929577464788737,4.5774647887324065
002533,2012-01-19,2.9040404040404098,5.8080808080808195,12.121212121212132,11.363636363636369
002533,2017-05-17,-5.0,-5.0,-5.0,-5.0
