序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3069,002818,富森美,11.29,0.36,0.04,20779.0,23432536.64,0.62,11.31,11.24,11.28,11.25,0.69,0.7,13.28,1.53,8450101433.0,3368452686.0,0.0,0.09,-5.13,-18.78,002818.SZ
3070,000779,甘咨询,8.41,0.36,0.03,22850.0,19190982.59,0.6,8.42,8.37,8.39,8.38,0.91,0.49,18.59,0.99,3909215691.0,3908755580.0,0.0,-0.12,-8.79,3.19,000779.SZ
3073,002748,世龙实业,14.08,0.36,0.05,289167.0,403728371.5,6.2,14.27,13.4,13.5,14.03,0.76,12.05,62.69,2.46,3379200000.0,3379200000.0,0.21,0.21,49.63,74.47,002748.SZ
3075,688009,中国通号,5.5,0.36,0.02,257656.0,142045869.0,1.46,5.54,5.46,5.47,5.48,1.02,0.3,19.12,1.26,58244004500.0,47415599000.0,0.0,-0.18,3.19,-9.69,688009.SS
3076,000676,智度股份,8.38,0.36,0.03,183430.0,153406100.17,1.44,8.43,8.31,8.37,8.35,1.03,1.46,66.37,2.47,10557033622.0,10550659098.0,0.12,0.12,-15.69,-0.95,000676.SZ
3077,600551,时代出版,8.31,0.36,0.03,45303.0,37608521.0,0.85,8.33,8.26,8.29,8.28,0.96,0.67,15.24,0.96,5634639036.0,5634639036.0,0.0,0.0,-1.19,1.22,600551.SS
3078,600064,南京高科,8.34,0.36,0.03,98804.0,82358660.0,0.6,8.36,8.31,8.33,8.31,0.88,0.57,4.44,0.73,14431032631.0,14431032631.0,-0.12,0.0,5.17,11.65,600064.SS
3079,002522,浙江众成,5.63,0.36,0.02,701852.0,395769836.69,3.39,5.73,5.54,5.58,5.61,0.82,7.76,80.19,2.21,5099537949.0,5095261919.0,0.0,0.0,13.28,44.73,002522.SZ
3080,605567,春雪食品,11.14,0.36,0.04,26419.0,29389495.0,1.44,11.19,11.03,11.09,11.1,0.58,1.32,49.33,2.04,2228000000.0,2228000000.0,0.0,0.09,12.41,25.17,605567.SS
3085,603316,诚邦股份,14.34,0.35,0.05,64198.0,92428510.0,3.36,14.64,14.16,14.29,14.29,0.83,2.43,-391.89,5.91,3789545760.0,3789545760.0,0.0,-0.14,3.02,205.11,603316.SS
3087,603998,方盛制药,11.48,0.35,0.04,37329.0,42735510.0,0.87,11.49,11.39,11.42,11.44,0.75,0.85,14.09,3.01,5040654013.0,5040654013.0,0.17,0.17,-2.96,14.69,603998.SS
3092,600739,辽宁成大,11.52,0.35,0.04,92971.0,107298546.0,1.31,11.59,11.44,11.48,11.48,1.03,0.61,9.69,0.6,17622257080.0,17622257080.0,0.0,0.0,-4.95,11.52,600739.SS
3093,002129,TCL中环,8.55,0.35,0.03,536475.0,456440448.31,1.64,8.57,8.43,8.5,8.52,0.82,1.33,-4.49,1.38,34568639859.0,34542340230.0,0.0,0.0,0.0,-3.61,002129.SZ
3096,002603,以岭药业,17.37,0.35,0.06,119029.0,206194257.32,0.98,17.42,17.25,17.35,17.31,1.02,0.86,21.76,2.71,29020152381.0,23915827856.0,0.0,0.0,10.15,10.57,002603.SZ
